"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bias and Fairness in Computer Vision Applications of the Criminal Justice System","S. Noiret; J. Lumetzberger; M. Kampel","Computer Vision Lab, Vienna University of Technology, Vienna, Austria; Computer Vision Lab, Vienna University of Technology, Vienna, Austria; Computer Vision Lab, Vienna University of Technology, Vienna, Austria",2021 IEEE Symposium Series on Computational Intelligence (SSCI),"24 Jan 2022","2021","","","1","8","Discriminatory practices involving AI -driven police work have been the subject of much controversies in the past few years, with algorithms such as COMPAS, PredPol and ShotSpotter being accused of unfairly impacting minority groups. At the same time, the issues of fairness in machine learning, and in particular in computer vision, have been the subject of a growing number of academic works. In this paper, we examine how these area intersect. We provide information on how these practices have come to exist and the difficulties in alleviating them. We then examine three applications currently in development to understand what risks they pose to fairness and how those risks can be mitigated.","","978-1-7281-9048-8","10.1109/SSCI50451.2021.9660177","VisuAAL ITN H2020(grant numbers:861091); Austrian Research Pro-motionAgency (FFG)(grant numbers:878730); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660177","","Computer vision;Machine learning algorithms;Law enforcement;Machine learning;Computational intelligence","","5","","40","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"The Disconnect between Real and Virtually Real Worlds: The Challenges of Using VR with Adolescents","L. M. Castaneda; S. W. Bindman; A. Cechony; M. Sidhu","100 NE Northlake Way Suite 100 Seattle, WA 98105; foundry10; foundry10; Radia",Presence,"7 Feb 2019","2018","26","4","453","453","","1054-7460","","10.1162/PRES_a_00310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8637207","","","","2","","","Traditional","7 Feb 2019","","","MIT Press","MIT Press Journals"
"Impacting the war on terrorism with language translation","D. S. Benincasa; S. E. Smith; M. J. Smith","SUNY Institute of Technology, Utica, NY, USA; Information Directorate, Air Force Research Laboratory, Rome, NY, USA; Law Enforcement Analysis Facility, ACS Defense, Inc., Rome, NY, USA",2004 IEEE Aerospace Conference Proceedings (IEEE Cat. No.04TH8720),"20 Dec 2004","2004","5","","3283","3288 Vol.5","Computerized spoken language translation is a technology that translates text or spoken inputs from one language to computer-spoken (or pre-recorded) outputs in another language. This paper will address the emerging field of language translation for both military and law enforcement applications. This paper reports on how language translation can help combat the war on terrorism along with the requirements and current activities conducted by the Air Force Research Laboratory and the Law Enforcement Analysis Facility to perform language translation for intelligence gathering and human language exchange.","1095-323X","0-7803-8155-6","10.1109/AERO.2004.1368134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1368134","","Terrorism;Natural languages;Law enforcement;Humans;Weapons;Laboratories;Military computing;Personnel;Biomedical monitoring;Computerized monitoring","","1","","10","IEEE","20 Dec 2004","","","IEEE","IEEE Conferences"
"Application of Artificial Intelligence and Big Data in the Security of Regulatory Places","L. Xu","Sichuan Vocational College of Justical Police, Deyang",2021 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),"2 Sep 2021","2021","","","210","213","This paper analyzes the necessity of artificial intelligence and big data in the security application of regulatory places. The author studies the specific application of artificial intelligence and big data in ideological dynamics management, access control system, video surveillance system, emergency alarm system, perimeter control system, police inspection system, daily behavior management, and system implementation management. The author puts forward how to do technical integration, improve information sharing, strengthen the construction of talents, and increase management fund expenditure. The purpose of this paper is to enhance the security management level of regulatory places and optimize the management environment of regulatory places.","","978-1-6654-3265-8","10.1109/AIEA53260.2021.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9525583","artificial intelligence;regulatory site;information system","Law enforcement;Security management;Big Data;Inspection;Video surveillance;Control systems;Information management","","1","","8","IEEE","2 Sep 2021","","","IEEE","IEEE Conferences"
"Who's going to take the rap for spam?","G. Cluley",NA,ITNOW,"18 Jan 2018","2006","48","1","12","13","For many people, spam has become accepted as the norm — an irritant to be deleted without opening when you log onto your computer every morning. However, changes in the nature of global computer crime, with the growing presence of financially-motivated cybercriminals, has led to the growing realization that spam represents much more than just a nuisance to businesses and consumers.","1746-5710","","10.1093/itnow/bwi135","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8138879","","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Effects of penalty and probability of punishment on cooperative behavior in 2-person Prisoner's dilemma situation","A. Murata; T. Kanagawa; N. Hata; T. Hayami","Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan; Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan; Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan; Graduate School of Natural Science and Technology, Okayama University, Okayama, Japan",2012 Proceedings of SICE Annual Conference (SICE),"4 Oct 2012","2012","","","2144","2150","In our society, it is a major issue to enhance cooperative behavior. Without this, our society fall into social dilemma situations, and gets worse and worse. Such a situation in a organization leads to violation of social rules, and at the worst case it suffers from serious accidents or scandals. Therefore, it is very important for organizational managers to make efforts and take measures to enhance cooperative behavior. Although there seem to be many ways to constantly elicit cooperative behavior, the punishment is one of the most effective measures for enhancing cooperation. This study focused on the effects of penalty and probability of punishment on the cooperation, and getting insight into how punishment strategy should be used to get rid of social dilemmas and enhance cooperation. This study conducted two simulation experiments to find the optimal penal regulations condition that can suppress violations (defective behavior) in a 2-person Prisoner's dilemma situation. The effects of probability of punishment and penalty on the cooperative behavior were identified with the interactive effect of both experimental factors. The defect (no-cooperative behavior) decreased when the punishment penalty was heavy and the probability of the defect revealing was low than when the punishment penalty was light and the probability of the defect revealing was high.","","978-1-4673-2259-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6318369","Prionor's dilemma;cooperation;defect;punishment model;violation-based accident","Accidents;Computational modeling;Organizations;Mathematical model;Probability;Educational institutions;Analytical models","","","","5","","4 Oct 2012","","","IEEE","IEEE Conferences"
"Digital Business Center as an Optimization of Digital Business Literacy and Entrepreneurship Education","I. Zutiasari; I. P. Wilujeng; D. Rusmana","Management Universitas Negeri Malang, Malang, Indonesia; Management Universitas Negeri Malang, Malang, Indonesia; Management Universitas Negeri Malang, Malang, Indonesia",2024 9th International STEM Education Conference (iSTEM-Ed),"6 Sep 2024","2024","","","1","6","Technological developments affect the way entrepreneurs operate, so online business is a profitable opportunity. “Lapas Perempuan Malang”/ Correctional Institution has productive human resources to create high-value products. This research method is Research and Development with the ADDIE model. The results of the material validation consisting of aspects of material content, language and communication, and presentation received 86.4%, so it was considered very valid and feasible. The results of media expert validation consisting of aspects of navigation, visuals, and communication received a result of 82.5%, so it is considered valid and feasible to use as a means of entrepreneurship education and promotional media. The results of the comments and suggestions given are that the website-based Digital Business Center media is good. However, explanations of existing features can be clarified to make it easier to understand and use optimally. Based on the trial results, this digital business center is excellent in terms of language and attractiveness. It can increase the desire to learn entrepreneurship and provide entrepreneurial experience for the community. This Digital Business Center media can be a digital marketing platform for products from prisoners.","","979-8-3503-6597-9","10.1109/iSTEM-Ed62750.2024.10663172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663172","Digital Business Center;Digital Business Literacy;Entrepreneurship Education;Correctional Institution","Visualization;Navigation;Education;Evaluation models;Entrepreneurship;Media;Research and development","","","","56","IEEE","6 Sep 2024","","","IEEE","IEEE Conferences"
"RAS 200 project helps prisoners to bounce back","S. Bowler","Editor of A&G and of A&G Forum, aandg.org",Astronomy & Geophysics,"28 Oct 2019","2019","60","5","5.12","5.12","Sue Bowler looks at the RAS 200 project that uses exploring the universe while inside to help get on with life outside. Sue Bowler looks at the RAS 200 project that uses exploring the universe while inside to help get on with life outside.","1468-4004","","10.1093/astrogeo/atz172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8883416","","","","","","","","28 Oct 2019","","","OUP","OUP Journals"
"Throw away the key: Doing time with technology","R. Northfield",NA,Engineering & Technology,"23 May 2019","2018","13","2","34","38","CAN TECHNOLOGY on its own stop a prisoner from reoffending? Probably not, but it can certainly help with rehabilitation. The next question is whether the justice system is willing and able to fund potential technology aids.","1750-9637","","10.1049/et.2018.0201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8720884","","","","","","","","23 May 2019","","","IET","IET Magazines"
"Tagging and Tracking System for Prisons and Correctional Facilities – A Design Roadmap","C. L. Mulholland; R. Sterritt; P. O'Hagan; E. Hanna","Core Systems, University of Ulster, UK; Core Systems, University of Ulster, UK; Core Systems, University of Ulster, UK; Core Systems, University of Ulster, UK",Fifth IEEE Workshop on Engineering of Autonomic and Autonomous Systems (ease 2008),"15 Apr 2008","2008","","","143","153","Prisons and correctional facilities, particularly within Europe, have moved away from the traditional role of restrictive management and into one more akin to mentoring and re-education. This change of direction coupled with staffing shortages creates the need for security systems capable of self-management to relieve prison staff of the more fundamental tasks of managing movement and interaction and allow them to focus on the individual. This paper aims to provide a potential design roadmap to the tagging and tracking element of an existing self-managing security system for use in prisons and correctional facilities. Logical processes and autonomic computing elements have been suggested to support self-management while tracking technology solutions are discussed that best uphold optimum data security. The use of SVG is considered as an animation capable user interface solution.","2168-1872","978-0-7695-3140-3","10.1109/EASe.2008.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4488296","Autonomic Systems;Tagging;Tracking","Tagging;Radiofrequency identification;Data security;Costs;Active RFID tags;Cryptographic protocols;Personal digital assistants;Communication system security;Memory;Batteries","","2","","38","IEEE","15 Apr 2008","","","IEEE","IEEE Conferences"
"Low-complexity signal detection using CG method for uplink large-scale MIMO systems","Y. Hu; Z. Wang; X. Gaol; J. Ning","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Tsinghua University, Beijing, Beijing, CN; Department of Electronic Engineering, Harbin Institute of Technology, Harbin, China",2014 IEEE International Conference on Communication Systems,"29 Jan 2015","2014","","","477","481","Large-scale multiple-input multiple-output (LS-MIMO) is considered as a promising key technology for future 5G wireless communications due to its very high spectrum and energy efficiency. However, one challenging problem to achieve these benefits is a practical signal detection algorithm in the uplink. In this paper, we propose a low-complexity near-optimal signal detection algorithm using the conjugate gradient (CG) method for uplink multi-user large-scale MIMO systems, which can avoid the complicated matrix inversion required by linear minimum mean square error (MMSE) signal detection algorithm. We also provide the convergence proof of the proposed scheme to guarantee its usability in practice. The analysis indicates that the proposed scheme can reduce the computational complexity by about one order of magnitude. The simulation results of the bit error rate performance verify that the proposed algorithm outperforms the recently proposed Neumann series approximation algorithm, and achieves the near-optimal performance of the classical MMSE algorithm by using only a small number of iterations.","","978-1-4799-5832-0","10.1109/ICCS.2014.7024849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7024849","","Vectors;Signal detection;Approximation algorithms;Complexity theory;MIMO;Algorithm design and analysis;Signal processing algorithms","","40","2","25","IEEE","29 Jan 2015","","","IEEE","IEEE Conferences"
"Digital Banking Transformation: Application of Artificial Intelligence and Big Data Analytics for Leveraging Customer Experience in the Indonesia Banking Sector","E. Indriasari; F. L. Gaol; T. Matsuo","Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Doctor of Computer Science Bina Nusantara University, Jakarta, Indonesia; Professor at Advanced Institute of Industrial Technology, Japan",2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI),"13 Feb 2020","2019","","","863","868","Discussions related to the Digital Banking (DB) transformation has become the main issues in the industry nowadays. Digital disruption has changed the way peoples do business and perform transactions. However, the bankers still found many problems when performing DB transformation. Main issues on DB transformation are that many banks still assume that digital transformation is about workflows and systems rather than focus on customer experience. Nowadays, Artificial Intelligence (AI) and Big Data Analytics (BDA) have risen and played as an important role in the new banking era. The recent trend of AI and BDA enable banking to be more customer-centric based on data driven. Personalization service becoming an important strategy for leveraging the existing customer engagement, and attracting potential customer become new customers. This study explores the application of AI and BDA in banking for leveraging customer experience. This study used literature review and interviews to gather the data. We interview more than some persons in Indonesia banking industry to get the insight on the implementation of AI and BDA in Indonesia. The paper reveals best practices of the global banking and Indonesian banking, in the implementation of AI & BDA. The contributions of this study are proposed enterprise architecture and recommended digital innovation in AI and BDA that enables banking institutions to leverage customer experiences.","","978-1-7281-2627-2","10.1109/IIAI-AAI.2019.00175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8992702","Digital Banking Transformation, Artificial Intelligence, Big Data Analytics","","","30","","17","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Smart mobile attendance system using voice recognition and fingerprint on smartphone","B. Soewito; F. L. Gaol; E. Simanjuntak; F. E. Gunawan","Bina Nusantara University Jakarta, Indonesia; Bina Nusantara University Jakarta, Indonesia; Bina Nusantara University Jakarta, Indonesia; Bina Nusantara University Jakarta, Indonesia",2016 International Seminar on Intelligent Technology and Its Applications (ISITIA),"23 Jan 2017","2016","","","175","180","The attendance system has been known for a long time, ranging from manual system to automated and complicated system such as attendance system using biometrics. All those attendance system have several weakness, especially to control of employees who work outside the office. In this paper we introduced a attendance system that can be used to record the attendance of employees who are duty outside the building. Our system is also integrated with payroll system that make accounting department can easily calculate and report the salary included the overtime cost. The proposed attendance system used smartphone to verify the employee. The system provide two options for doing verification, such as fingerprint and voice recognition. In this research, we find that fingerprint verification has false positive 95% and the false negative of voice recognition is 5.88%.","","978-1-5090-1709-6","10.1109/ISITIA.2016.7828654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7828654","","Speech recognition;Authentication;Fingerprint recognition;Servers;Monitoring;Smart phones","","21","","12","IEEE","23 Jan 2017","","","IEEE","IEEE Conferences"
"Attendance system on Android smartphone","B. Soewito; F. L. Gaol; E. Simanjuntak; F. E. Gunawan","Graduate Program Bina Nusantara University, Jakarta, Indonesia; Graduate Program Bina Nusantara University, Jakarta, Indonesia; Graduate Program Bina Nusantara University, Jakarta, Indonesia; Graduate Program Bina Nusantara University, Jakarta, Indonesia","2015 International Conference on Control, Electronics, Renewable Energy and Communications (ICCEREC)","30 Nov 2015","2015","","","208","211","Attendance system which is currently excist still has weaknesses. The first is the long queues in front of the attendace machine at the time to come to work and leave work. The second is cheating, employees can ask her/his friend to do attendance process. The third is mostly attendance system has not been connected with the payment system in human resouces software or in the finance department. The fourth, employees who work outside the office can not do attendance process. In this paper, we introduced an attendance system based finger print technology and GPS using a smartphone integrated with payment system that will eliminate all the problems above. Our research also based on prediction that in the next few year all the smart phone will have a fingerprint scanner.","","978-1-4799-8975-1","10.1109/ICCEREC.2015.7337046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7337046","","Smart phones;Global Positioning System;Accuracy;Fingerprint recognition;Servers;Renewable energy sources;Manuals","","16","","17","IEEE","30 Nov 2015","","","IEEE","IEEE Conferences"
"Django Web Framework Software Metrics Measurement Using Radon and Pylint","S. Liawatimena; H. L. Hendric Spits Warnars; A. Trisetyarso; E. Abdurahman; B. Soewito; A. Wibowo; F. L. Gaol; B. S. Abbas","Computer Engineering Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Industrial Engineering Department, Bina Nusantara University, Jakarta, Indonesia",2018 Indonesian Association for Pattern Recognition International Conference (INAPR),"27 Jan 2019","2018","","","218","222","Nowadays, sites are complex applications that carry out transactions, render real-time information and offer interaction. Creation of web applications that allow many designers, advanced tools, and many more options. Web frameworks deliver a brilliant way between creating an application from the ground and using a content management system. This article centers around an open source web development framework, to be specific to Django. The methodology that used in the study is measuring Django Web Frameworks code quality metrics using Radon and Pylint. Django option in the main directory has 2,200 lines of code, Cyclomatic Complexity score is 16.375 considered as average complexity, and 6.69/10 by the pylint score.","","978-1-5386-9422-0","10.1109/INAPR.2018.8627009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8627009","Cyclomatic Complexity;Maintainability Index;Software Metrics;Python Web Framework","Complexity theory;Python;Radon;Measurement;Indexes","","16","","20","IEEE","27 Jan 2019","","","IEEE","IEEE Conferences"
"Using Machine Learning Techniques to Earlier Predict Student's Performance","E. Tanuar; Y. Heryadi; Lukas; B. S. Abbas; F. L. Gaol","Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Universitas Katolik Indonesia Atma Jaya, Jakarta, Jakarta Utara, ID; Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Bina Nusantara University, West Jakarta, DKI Jakarta, ID",2018 Indonesian Association for Pattern Recognition International Conference (INAPR),"31 Jan 2019","2018","","","85","89","Education field is rich of data, and machine learning used in this field are increasing lately. Based on their first semester result, using machine learning techniques, the student's final year result (GPA) can be predicted. The data used in this experiment are from the computer science subjects, 6 subjects, 1 laboratories results and the GPA on their graduation year. The techniques used in this experiment are Generalized Linear Model, Deep Learning and Decision Tree. From this result, what are the important factors that impact on the result can be extracted to help the students prepared themselves earlier.","","978-1-5386-9422-0","10.1109/INAPR.2018.8626856","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8626856","Machine Learning;Data Mining;Student's Performance - GPA;Soft Computing","Decision trees;Data mining;Computer science;Deep learning;Prediction algorithms","","15","","21","IEEE","31 Jan 2019","","","IEEE","IEEE Conferences"
"Quality measurement for serious games","L. K. P. Suryapranata; B. Soewito; G. P. Kusuma; F. L. Gaol; H. L. H. S. Warnars","Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Master in Computer Science, Bina Nusantara University, Jakarta, Indonesia; Master in Computer Science, Bina Nusantara University, Jakarta, Indonesia; Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Bina Nusantara University, West Jakarta, DKI Jakarta, ID",2017 International Conference on Applied Computer and Communication Technologies (ComCom),"7 Dec 2017","2017","","","1","4","One kind of games based on its playing media is video game, which defined as a game that use any kind of computers as media. In terms of purpose, game has two types, which is serious game and non-serious game. As learning media, serious games need to have ability to motivate its player in order to play the game until the end so the player can finish the game while understanding learning materials given in the game. Therefore, the quality of serious game should be measured, like any other software. When it comes to measure serious games, previous models can't do the job well since all of them have no way to measure the game's content, especially to measure the content that can improve player's motivation. This paper proposes a new game measurement metric to measure the game quality factors, especially to measure serious game contents that can motivate its players. The result of this paper is a metric table consisted of measureable factors and type of test to measure them.","","978-1-5090-4048-3","10.1109/COMCOM.2017.8167098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167098","quality measurement;quality metric;serious games;quality factors;motivational factors","","","12","","23","IEEE","7 Dec 2017","","","IEEE","IEEE Conferences"
"A Proposed surveillance model in an Intelligent Transportation System (ITS)","A. S. Putra; H. L. H. S. Warnars; F. L. Gaol; B. Soewito; E. Abdurachman","Computer Science Department, Bina Nusantara university, Jakarta, Indonesia; Computer Science Department, Bina Nusantara university, Jakarta, Indonesia; Computer Science Department, Bina Nusantara university, Jakarta, Indonesia; Computer Science Department, Bina Nusantara university, Jakarta, Indonesia; Computer Science Department, Bina Nusantara university, Jakarta, Indonesia",2018 Indonesian Association for Pattern Recognition International Conference (INAPR),"27 Jan 2019","2018","","","156","160","Progress in the complexity of large cities, highly complex systems, and intelligence science, in particular, smart city technology, has shown great ability in helping to reduce traffic congestion in developing cities. All ideas from the development of intelligent transportation to a town that wants to build and want to change into a smart city, especially in the field of ACP (system created, computing developed), based on parallel management and control system (PTMS). PTMS is considered to be enlarged to a new generation of an intelligent transportation system, and its essential component of architecture then make the hardware and software that will support a new architecture in a developing city to a smart city. The case in a lift is a communication system on a car that uses peer to peer networks and smart cards, with a communication system in a vehicle is expected to control congestion in a developing city through an original town with a connected system. This paper proposed four aspects of surveillance such as Traffic surveillance, vehicle Surveillance, passenger surveillance and driver surveillance. The combination of these surveillances will create best applied Intelligent Transportation Systems (ITS) or can be called as Smart Transportation Systems(STS).","","978-1-5386-9422-0","10.1109/INAPR.2018.8627013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8627013","smart transportation systems;parallel transport management and control systems (PTMS);Intelligent Transportation Systems","Urban areas;Surveillance;Traffic control;Automobiles","","12","","35","IEEE","27 Jan 2019","","","IEEE","IEEE Conferences"
"Quality measurement of android messaging application based on user experience in Microblog","R. Arianto; F. L. Gaol; E. Abdurachman; Y. Heryadi; H. L. H. S. Warnars; B. Soewito; H. Perez-Sanchez","Doctor of Computer Science; Doctor of Computer Science; Doctor of Computer Science; Doctor of Computer Science; Doctor of Computer Science; Doctor of Computer Science; Graduate Computer Science, Bina Nusantara University, Jakarta, Indonesia",2017 International Conference on Applied Computer and Communication Technologies (ComCom),"7 Dec 2017","2017","","","1","5","There are many options of android messaging application which give opportunity to user in order to choose which one as best or famous android messaging application and make it become suitable for them. Usually, people used to look at the information about best or famous android messaging application by texting in search engine such as google and get some link information from user/blogger reviews, and based on that reviews they will make decisions which one as suitable for them. We proposed the other way how to measure the quality of each android messaging application based on user experience which they text in Microblog such as Twitter. The unstructured data in the Microblog will be processed with 2 operators for sentiment analysis method in RapidMiner such as AYLIEN and ROSETTE. AYLIEN sentiment analysis has 3 categories such as positive, negative, and neutral, whilst ROSETTE sentiment analysis has 2 categories such as positive and negative sentiments. Finally, the finding sentiment analysis with these 2 operators will be compared with PlayStore review.","","978-1-5090-4048-3","10.1109/COMCOM.2017.8167099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167099","Unstructured Data;Natural Language Processing;Sentiment Analysis;RapidMiner;Microblog","","","11","","22","IEEE","7 Dec 2017","","","IEEE","IEEE Conferences"
"Model reference adaptive system observer based sensorless control of doubly-fed induction machine","L. Gaol; B. Guan; Y. Zhou; L. Xu","Dept. of Electrical Engineering, Hunan University, China; Dept. of Electrical and Computer Engineering, Ohio State University, U.S.A.; Dept. of Electrical Engineering, Hunan University, China; Dept. of Electrical and Computer Engineering, Ohio State University, U.S.A.",2010 International Conference on Electrical Machines and Systems,"10 Dec 2010","2010","","","931","936","This paper presents a sensorless algorithm for the vector control of doubly-fed induction Machine (DFIM) using rotor current based model reference adaptive system (MRAS) observer. The stator flux oriented vector control is employed to achieve variable-speed drive and decoupled active/reactive power control. In the proposed MRAS observer, the reference model is the measured rotor current, which compared to the estimation of the rotor current obtained from measured stator voltages and currents. A proportional-integral (PI) control adjusts the rotational rotor angle, driving the error between the measured and estimated rotor currents to zero. A 50kW DFIM prototype system is built to verify the theoretical analysis. Through variable speed tracking control in motoring mode and decoupled active/ reactive power control in generating mode for simulation and laboratory experimental study, even if the magnitude of rotor current is very low, closing to zero, the estimation of rotational speed and rotor position at different speed and power condition can still track the actual value. The simulation and laboratory experimental results have shown the effectiveness of the proposed sensorless control scheme.","","978-89-86510-11-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5663838","","Rotors;Observers;Stator windings;Sensorless control;Velocity control;Current measurement","","9","","19","","10 Dec 2010","","","IEEE","IEEE Conferences"
"Application of Predictive Analytics at Financial Institutions: A Systematic Literature Review","E. Indriasari; H. Soeparno; F. L. Gaol; T. Matsuo","Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Bioinformatics and Data Science, Research Center Bina Nusantara University, Jakarta, Indonesia; Doctor of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Professor at Advanced Institute of Industrial Technology, Japan",2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI),"13 Feb 2020","2019","","","877","883","The issues that relate with the automatics and intelligent tracing of the transaction and banking customer become the main issues nowadays. Whereas most of transaction that already moved to digital and online transaction that needed more intelligent features on the Predictive Analyst. The rise of predictive analytics (PA) is one of the biggest disruptions in financial services. In the last years, PA methods grew sharply to give the baseline of data driven decision-making process for forecasting future business situation. PA uses various algorithms to discover different patterns in the big data environment that might create more value for businesses including in financial institutions. The potential implementation of data science in financial industry is still to be explored. In this paper, we summarize work done on PA at financial industry. We also explore the potential application of PA and investigating how data science and big data is going to be used in financial institutions in the future.","","978-1-7281-2627-2","10.1109/IIAI-AAI.2019.00178","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8992792","predictive analytics;data science;big data;financial institutions","","","9","","33","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"A Liquid Metal Based Super-Stretchable Strain Sensor","J. Chen; Q. Gaol; J. Zhang; Z. Xie; O. M. Omisore; L. Wang; H. Li","Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China",2018 IEEE 13th Annual International Conference on Nano/Micro Engineered and Molecular Systems (NEMS),"6 Dec 2018","2018","","","377","380","Quantifying naturally occurring strains in wearable electronic devices, such as those of the human or robot body, requires strain sensors with equal or greater physical properties. This paper reports a novel microfabrication method derived from soft lithography with liquid metal encapsulated to create a super-stretchable strain sensor. Compared to state of art, the sensor can be stretched 300%, and twisted 180°. The repeatability error of stretching and releasing process is less than 3%; and the sensitivity parameter gauge factor could reach as great as 8. The liquid metal based sensor is believed to have great potential in the next-generation of wearable devices.","2474-3755","978-1-5386-5273-2","10.1109/NEMS.2018.8556925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8556925","stretchable sensor;strain measurement;liquid metal;microchannel","Soft lithography;Liquids;Sensitivity;Wearable computers;Metals;Robot sensing systems;Strain measurement","","8","","17","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
"Measuring the quality of various version an object-oriented software utilizing CK metrics","I. Binanto; H. L. H. S. Warnars; F. L. Gaol; E. Abdurachman; B. Soewito","Informatics Department, Sanata Dharma University, Yogyakarta, Indonesia; Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Bina Nusantara University, West Jakarta, DKI Jakarta, ID; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia",2018 International Conference on Information and Communications Technology (ICOIACT),"30 Apr 2018","2018","","","41","44","There are many object-oriented software quality measurement techniques. One of them is CK metric. This paper utilizes CK metrics to measure qualities per version of an open source software namely Statcato. Measurements are done in each class, each version of the software. The measurement is used to analyze the quality of the software. This paper concludes that the quality of software has improved during its lifecycle, although its features increase.","","978-1-5386-0954-5","10.1109/ICOIACT.2018.8350760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8350760","object-oriented software metric;chidamber-kemerer metric;software quality;Software measurement;Software Size","Software metrics;Complexity theory;Open source software;Graphics","","8","","23","IEEE","30 Apr 2018","","","IEEE","IEEE Conferences"
